"library","category","source_root","source_relative_path","size_bytes","sha256","is_canonical","canonical_destination_relative_path"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\时间序列\ScaleGraphBlock.pdf","1116445","7990DD94FBC476C7F126B83950B91426A80E38047AD74C1D9EEECDA2588A5E13","True","tools\module_reference_sync\pdfs\papers\ai_f\ScaleGraphBlock__7990DD94.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\(cvpr2019）sknet.pdf","5634006","7E4B68BE4DB7ED0C4E659BCAFD3465E63CEF2704D0303DD6B96AD15597A00B0C","True","tools\module_reference_sync\pdfs\papers\ai_f\(cvpr2019）sknet__7E4B68BE.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\BMSFormer An efficient deep learning model for online state-of-health estimation of lithium-ion batteries under high-frequency early SOC data with strong correlated single health indicator.pdf","15136569","7F9333CDB93281E6E582D90F7CC5B9B320997224CD587670586B827360D5C2D0","True","tools\module_reference_sync\pdfs\papers\ai_f\BMSFormer_An_efficient_deep_learning_model_for_online_state-of-health_estimation__7F9333CD.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\论文\（cvpr2023）部分卷积.pdf","1211493","813F38400DFFDCC85D346C38E91F8B6310C8F03ACB3B8C2682EBF0990136610E","True","tools\module_reference_sync\pdfs\papers\ai_f\（cvpr2023）部分卷积__813F3840.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\xx-former制作基础.pdf","396116","966E3FE2AA81F51C122EF15E2DDA407C449E309032AA5C399363110AF1B24C9D","True","tools\module_reference_sync\pdfs\guides\ai_f\xx-former制作基础__966E3FE2.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\ai缝合大王2025精选模块\3\3.pdf","5097955","9AAD83C0E71F453A660CA637BAB15550C5730936F87680009D54656259F38C0C","True","tools\module_reference_sync\pdfs\papers\ai_f\3__9AAD83C0.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\(CVPR2025)xx-former例子.pdf","425303","9C960D5AEE468087BD75B44C7E2F11822F21F1177C7600BE92D06C36FFCDC5A4","True","tools\module_reference_sync\pdfs\guides\ai_f\(CVPR2025)xx-former例子__9C960D5A.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\(AAAI2024)dfformer.pdf","21521087","9D3E748C090A3B11C73A5C914BD9296FD93708BA008FB738A27D993DC36A5D38","True","tools\module_reference_sync\pdfs\papers\ai_f\(AAAI2024)dfformer__9D3E748C.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\xx-former创新之FFN层改进5篇.pdf","735914","9E0D35A50DB269551983691B33E3568EEECAF6ED00EBEEE1851E045C0EB5D008","True","tools\module_reference_sync\pdfs\guides\ai_f\xx-former创新之FFN层改进5篇__9E0D35A5.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\ai缝合大王2025精选模块\4\4.2.pdf","823036","9E446AE39FE0D9ED52DCDB95CF38B3C33C03F98269BDF03695CD8134BFA376B1","True","tools\module_reference_sync\pdfs\papers\ai_f\4.2__9E446AE3.pdf"
